CMPLNT_NUM,CMPLNT_FR_DT,LOC_OF_OCCUR_DESC,BORO_NM,ADDR_PCT_CD,LAT,LONG
746410355,2016-06-20,OUTSIDE,BRONX,43.0,40.827871665,-73.864958422
808721940,2016-06-19,INSIDE,BRONX,46.0,40.860655553,-73.895006204
131566692,2016-06-19,INSIDE,BROOKLYN,75.0,40.680494853,-73.867095611
293368608,2016-06-18,OUTSIDE,BRONX,41.0,40.825100443,-73.89485635
797064293,2016-06-17,OUTSIDE,BRONX,46.0,40.847277155,-73.910442906
406209305,2016-06-15,INSIDE,BROOKLYN,73.0,40.666231521,-73.922538001
414961332,2016-06-15,OUTSIDE,BROOKLYN,84.0,40.69969571,-73.981691569
594624369,2016-06-15,OUTSIDE,BROOKLYN,73.0,40.680096472,-73.912556632
292423712,2016-06-15,INSIDE,BRONX,47.0,40.886052491,-73.8614443
349795653,2016-06-12,INSIDE,QUEENS,110.0,40.745435546,-73.864353209
595564854,2016-06-12,OUTSIDE,BROOKLYN,75.0,40.671411663,-73.881511724
768820475,2016-06-11,OUTSIDE,BRONX,41.0,40.820261474,-73.897877215
940101494,2016-06-11,OUTSIDE,BRONX,40.0,40.816805565,-73.907261306
482012333,2016-06-11,OUTSIDE,BRONX,46.0,40.846741539,-73.906482233
463606771,2016-06-07,OUTSIDE,BROOKLYN,79.0,40.684998931,-73.93844593
948529437,2014-08-18,OUTSIDE,BROOKLYN,75.0,40.670846253,-73.868874019
543922814,2016-06-06,OUTSIDE,BROOKLYN,84.0,40.693065804,-73.999543473
118075222,2016-06-05,OUTSIDE,BROOKLYN,77.0,40.670206898,-73.923942878
791425530,2016-06-05,INSIDE,BROOKLYN,81.0,40.679670066,-73.936136211
882005095,2016-06-04,OUTSIDE,BROOKLYN,90.0,40.708909009,-73.965804097
936021522,2016-06-03,OUTSIDE,MANHATTAN,9.0,40.722273155,-73.976342426
664435895,2015-08-29,INSIDE,STATEN ISLAND,120.0,40.644754824,-74.087241385
885359399,2016-06-01,OUTSIDE,BROOKLYN,79.0,40.696493892,-73.949430815
841787838,2016-05-31,INSIDE,BROOKLYN,67.0,40.637804468,-73.942377197
737759309,2016-05-31,OUTSIDE,BROOKLYN,77.0,40.670667775,-73.93233809
921857030,2016-05-30,INSIDE,BRONX,48.0,40.854120099,-73.888809888
685829077,2016-05-29,OUTSIDE,BROOKLYN,67.0,40.638614237,-73.948267625
515486108,2016-05-29,OUTSIDE,BRONX,48.0,40.852841995,-73.88417431
929068545,2016-05-28,INSIDE,BROOKLYN,84.0,40.685650526,-73.980487523
193505426,2016-05-27,OUTSIDE,BRONX,47.0,40.887313634,-73.847271758
460289295,2016-05-26,INSIDE,BRONX,44.0,40.829363293,-73.919045385
479531208,2016-05-26,OUTSIDE,QUEENS,101.0,40.605163421,-73.754847799
490038252,2016-05-25,INSIDE,MANHATTAN,13.0,40.734983188,-73.988054214
919398944,2016-05-20,OUTSIDE,STATEN ISLAND,121.0,40.638335307,-74.164483967
605725492,2016-05-19,OUTSIDE,BRONX,49.0,40.859639663,-73.86323458
694785948,1999-01-04,OUTSIDE,QUEENS,111.0,40.761059062,-73.728041784
281596419,2016-05-19,OUTSIDE,QUEENS,113.0,40.684069625,-73.75818135
380219406,2016-05-19,OUTSIDE,BROOKLYN,76.0,40.676064661,-74.00240969
795107470,2016-05-18,OUTSIDE,BROOKLYN,67.0,40.655621162,-73.919937382
538607993,2016-05-18,OUTSIDE,BROOKLYN,67.0,40.642043072,-73.949609007
634977602,2016-05-17,INSIDE,BRONX,45.0,40.844350414,-73.815105671
126210030,2016-05-14,INSIDE,STATEN ISLAND,122.0,40.5580167,-74.130417978
688453832,2016-05-14,INSIDE,BROOKLYN,70.0,40.654952417,-73.958000222
536125298,2016-05-12,OUTSIDE,BROOKLYN,69.0,40.637223031,-73.912627224
223370930,2016-05-11,INSIDE,BRONX,44.0,40.841694933,-73.911108193
802505433,2016-05-11,INSIDE,BRONX,52.0,40.868587481,-73.883311681
395912492,2016-05-11,INSIDE,BRONX,40.0,40.818413984,-73.907277131
658742912,2016-05-09,OUTSIDE,BRONX,46.0,40.857082062,-73.901352508
926361825,2016-05-08,OUTSIDE,BROOKLYN,75.0,40.671411663,-73.881511724
400627835,2016-05-08,OUTSIDE,BROOKLYN,83.0,40.689491039,-73.908018925
674115148,2016-05-07,OUTSIDE,BRONX,40.0,40.817755155,-73.91801901
147729340,2016-05-06,OUTSIDE,QUEENS,103.0,40.696979876,-73.792740591
997143642,2005-09-15,INSIDE,MANHATTAN,9.0,40.725697698,-73.988239878
135057030,2016-05-04,OUTSIDE,BRONX,41.0,40.81493989,-73.886592131
817285254,2016-05-03,INSIDE,BRONX,44.0,40.836678228,-73.915596087
746031763,2016-05-02,OUTSIDE,BROOKLYN,61.0,40.578510134,-73.934900975
958345238,2016-04-19,OUTSIDE,BROOKLYN,81.0,40.686082215,-73.919233753
215478000,2016-04-29,OUTSIDE,BROOKLYN,75.0,40.663996333,-73.893848712
686155680,2016-04-28,INSIDE,BRONX,46.0,40.861063085,-73.893447414
696897261,2016-04-27,OUTSIDE,BRONX,41.0,40.820411063,-73.893331855
519638080,2010-05-06,OUTSIDE,BRONX,42.0,40.834571799,-73.88831495
918697305,2016-04-26,INSIDE,BROOKLYN,83.0,40.699837274,-73.913089739
406138980,2016-04-24,INSIDE,BRONX,50.0,40.872845399,-73.898794425
953574358,2016-04-23,INSIDE,BRONX,44.0,40.835577917,-73.908803531
953611180,2016-04-21,INSIDE,BROOKLYN,81.0,40.689097532,-73.925616087
827002253,2016-04-19,INSIDE,BRONX,50.0,40.869588539,-73.900050398
328803276,2016-04-18,INSIDE,MANHATTAN,33.0,40.847688805,-73.934930327
